# string-xref names: 0x<rva>|<qualified name>|tier|votes|<mangled>
0x00270D57|TESPackage::GetSearchLocationCoord|T2|1|?GetSearchLocationCoord@TESPackage@@QAA?BVNiPoint3@@PAVMobileObject@@@Z
0x00272B70|TESPackage::InitItem|T1|2|?InitItem@TESPackage@@UAAXXZ
0x002753B4|TESPackage::IsActorAtRefTarget|T2|1|?IsActorAtRefTarget@TESPackage@@UAA_NPAVMobileObject@@H@Z
0x00275FCB|TESPackage::CalculateProcedureType|T2|1|?CalculateProcedureType@TESPackage@@QAAXPAVTESObjectREFR@@@Z
0x002770C5|TESPackage::GetSearchLocationRadius|T2|1|?GetSearchLocationRadius@TESPackage@@QAAIPAVMobileObject@@@Z
0x0027713F|TESPackage::GetSaveSize|T1|2|?GetSaveSize@TESPackage@@UAAGXZ
0x0027728D|TESPackage::LoadGame|T2|1|?LoadGame@TESPackage@@UAAXPAVBGSLoadFormBuffer@@@Z
0x002772F8|TESPackage::SaveGame|T2|3|?SaveGame@TESPackage@@UAAXXZ
0x00277364|TESPackage::GetSearchLocationCell|T2|1|?GetSearchLocationCell@TESPackage@@QAAPAVTESObjectCELL@@PAVMobileObject@@@Z
0x002774C9|TESPackage::GetOrCreateUseWeaponPackageData|T2|1|?GetOrCreateUseWeaponPackageData@TESPackage@@QAAPAVTESUseWeaponPackageData@@XZ
0x00277697|TESPackage::LoadGame|T2|4|?LoadGame@TESPackage@@UAAXXZ
0x0027C330|PackageEventAction::InitItem|T2|2|?InitItem@PackageEventAction@@QAAXPAVTESForm@@@Z
0x0027C690|PackageList::InitItem|T2|1|?InitItem@PackageList@@QAAXPAVTESForm@@@Z
0x0027CB40|PackageList::FindCurrentPackage|T2|1|?FindCurrentPackage@PackageList@@QAAPAVTESPackage@@PAVActor@@@Z
0x0027D8B0|PackageLocation::InitItem|T2|3|?InitItem@PackageLocation@@QAAXPAVTESForm@@@Z
0x0027E4A0|PackageTarget::InitItem|T2|3|?InitItem@PackageTarget@@QAAXPAVTESForm@@@Z
0x0027FF70|TESConditionItem::InitItem|T2|2|?InitItem@TESConditionItem@@QAAXPAVTESForm@@@Z
0x002801A0|TESParameters::InitItem|T2|1|?InitItem@TESParameters@@SAXPAVTESForm@@PAUFUNCTION_DATA@@@Z
0x0028762E|BSTempEffectGeometryDecal::LoadGame|T2|7|?LoadGame@BSTempEffectGeometryDecal@@UAA_NXZ
0x00287C79|BSTempEffectParticle::GetSaveSize|T1|2|?GetSaveSize@BSTempEffectParticle@@UAAGXZ
0x00287FD3|BSTempEffectParticle::SaveGame|T2|2|?SaveGame@BSTempEffectParticle@@UAAXXZ
0x00288590|BSTempEffectParticle::LoadGame|T2|3|?LoadGame@BSTempEffectParticle@@UAA_NXZ
0x00289423|BSTempEffectSimpleDecal::PreloadDecalData|T2|1|?PreloadDecalData@BSTempEffectSimpleDecal@@SAXXZ
0x00289C5B|BSTempEffectSimpleDecal::ProcessGeometry|T2|1|?ProcessGeometry@BSTempEffectSimpleDecal@@QAA_NPAVNiAVObject@@@Z
0x0028A595|BSTempEffectSimpleDecal::FinalizeGeometry|T2|1|?FinalizeGeometry@BSTempEffectSimpleDecal@@QAA_NXZ
0x0028B301|BSTempEffectSimpleDecal::ClipMesh|T2|1|?ClipMesh@BSTempEffectSimpleDecal@@QAAXPAVNiAVObject@@@Z
0x0028BC72|BSTempEffectSimpleDecal::ClipPolygonAgainstPlane|T2|1|?ClipPolygonAgainstPlane@BSTempEffectSimpleDecal@@SAHPAVNiPlane@@HPBHPBVNiPoint3@@2PAHPAV3@4@Z
0x0028C054|BSTempEffectSimpleDecal::CreateDebugBox|T2|1|?CreateDebugBox@BSTempEffectSimpleDecal@@QAAXAAVNiColorA@@_N@Z
0x0028E45E|NavMesh::CheckNavMesh|T2|7|?CheckNavMesh@NavMesh@@QAA_N_N@Z
0x002909B0|NavMesh::CreateGroupData|T2|1|?CreateGroupData@NavMesh@@UAAXPAUFORM@@PAUFORM_GROUP@@@Z
0x00290DF0|NavMesh::Load|T2|2|?Load@NavMesh@@UAA_NPAVTESFile@@@Z
0x00291FB0|NavMesh::GetFormDetailedString|T2|1|?GetFormDetailedString@NavMesh@@UAAXAAV?$BSStringT@D@@@Z
0x002925B0|NavMesh::SetDisableNavMesh|T2|2|?SetDisableNavMesh@NavMesh@@SA_NI_N@Z
0x002B3DE0|NavMeshInfoMap::RemoveInfoFromCellKeyMap|T2|1|?RemoveInfoFromCellKeyMap@NavMeshInfoMap@@AAAXPAVNavMeshInfo@@@Z
0x002B4590|NavMeshInfoMap::InitItem|T2|1|?InitItem@NavMeshInfoMap@@UAAXXZ
0x002B56FE|NavMeshInfoMap::CheckMap|T2|2|?CheckMap@NavMeshInfoMap@@QAAXXZ
0x002BE580|NavMeshObstacleManager::NavMeshObstacleManager|T1|4|??0NavMeshObstacleManager@@QAA@XZ
0x002BE770|NavMeshObstacleManager::UpdateObstaclesForReference|T2|1|?UpdateObstaclesForReference@NavMeshObstacleManager@@AAAXIPAVTESObjectREFR@@@Z
0x002C1760|NavMeshObstacleManager::Update|T1|2|?Update@NavMeshObstacleManager@@QAAXXZ
0x002C19BD|NavMeshObstacleManager::GetProcessedTaskCount|T2|1|?GetProcessedTaskCount@NavMeshObstacleManager@@AAAIXZ
0x002C1C70|NavMeshObstacleManager::ForceUpdateAllObstacles|T2|1|?ForceUpdateAllObstacles@NavMeshObstacleManager@@QAAXXZ
0x002C1DD0|NavMeshObstacleManager::ReconnectPortals|T2|1|?ReconnectPortals@NavMeshObstacleManager@@AAA_NXZ
0x002C3440|NavMeshObstacleManager::AddProcessedTask|T2|1|?AddProcessedTask@NavMeshObstacleManager@@QAAXPAVObstacleTaskData@@@Z
0x002C44D0|*>::LockFreeMapInterface::SetAt|T2|1|?SetAt@LockFreeMapInterface@?$LockFreeMap@PAVTESObjectREFR@@PAVBSTreeNode@@@@QAA_NIPAVTESObjectREFR@@ABQAVBSTreeNode@@_N@Z
0x002C47E0|>::LockFreeMapInterface::SetAt|T2|1|?SetAt@LockFreeMapInterface@?$LockFreeMap@PAVTESObjectREFR@@V?$NiPointer@VQueuedHelmet@@@@@@QAA_NIPAVTESObjectREFR@@ABV?$NiPointer@VQueuedHelmet@@@@_N@Z
0x002C4EC0|>::LockFreeMapInterface::SetAt|T2|1|?SetAt@LockFreeMapInterface@?$LockFreeMap@PAVTESObjectREFR@@V?$NiPointer@VQueuedReference@@@@@@QAA_NIPAVTESObjectREFR@@ABV?$NiPointer@VQueuedReference@@@@_N@Z
