# CommonLib-documented vtable methods: 0xRVA|Class::method
0x00509AC0|TESGrass::SetWavePeriod
0x00509AF0|TESGrass::GetVertexLighting
0x00509B20|TESGrass::GetUniformScaling
0x00509D30|TESGrass::GetHeightRange
0x00509D60|TESGrass::GetColorRange
0x00509DA0|TESGrass::GetWavePeriod
0x0050EE20|TESGrass::SetUnderwaterState
0x0050EE50|AlchemyItem::GetSpellType
0x0050EE50|BGSTalkingActivator::GetReflectedByAutoWater
0x0050EE50|TESActorBase::GetHasPLSpecTex
0x0050EE50|TESGrass::GetDensity
0x0050EE50|TESObjectMISC::SaveImpl
0x0050F5D0|TESGrass::SetMaxSlopeDegrees
0x0050F600|TESGrass::GetPositionRange
0x0050F670|TESBoundObject::GetObjectVoiceType
0x0050F9E0|AlchemyItem::GetCastingType
0x0050F9E0|TESActorBase::SetCombatStyle
0x0050F9E0|TESGrass::GetMinSlopeDegrees
0x0050F9E0|TESObjectMISC::InitImpl
0x0050FB90|TESActorBase::GetAsForm
0x0050FB90|TESGrass::SetMinSlopeDegrees
0x0050FBF0|TESActorBase::GetCombatStyle
0x0050FBF0|TESGrass::SetDensity
0x0050FBF0|TESObjectMISC::LoadImpl
0x0050FE50|AlchemyItem::IsFood
0x0050FE50|TESGrass::GetUnderwaterState
0x00529530|NiObject::GetRTTI
0x00549580|TESForm::LoadObjectBound
0x0055A3B0|TESObjectREFR::ModifyAnimationUpdateData
0x0055C3E0|TESObjectREFR::DamageObject
0x0055D230|TESObjectREFR::GetFullLODRef
0x0055D480|TESObjectREFR::UpdateInDialogue
0x0055E4D0|TESObjectREFR::SetFullLODRef
0x0055E5E0|TESObjectREFR::GetSequencer
0x00561DF0|TESObjectREFR::SetExclusiveBranch
0x005649B0|TESObjectREFR::GetStartingAngle
0x00564A00|TESObjectREFR::GetStartingLocation
0x00564AB0|TESObjectREFR::SetStartingPosition
0x00564B00|TESObjectREFR::UpdateRefLight
0x00564B70|TESObjectREFR::RemoveItem
0x00564BC0|TESObjectREFR::AddWornItem
0x00565690|TESObjectREFR::DoTrap1
0x00567050|TESObjectREFR::Unk_78
0x00567F00|TESObjectREFR::AddObjectToContainer
0x00567F40|TESObjectREFR::DoTrap2
0x0056B2D0|TESObjectREFR::PopulateGraphProjectsToLoad
0x0056D490|bhkWorldObject::Unk_32
0x0056F6B0|TESObjectREFR::Unk_75
0x0056FB10|TESObjectREFR::InitNonNPCAnimation
0x0056FBA0|TESObjectREFR::CheckAndFixSkinAndBoneOrder
0x005702E0|TESObjectREFR::GetBoundMin
0x005722C0|TESObjectREFR::GetFireNode
0x005725B0|TESObjectREFR::Disable
0x00572820|TESObjectREFR::IsChild
