  VFUNC|0x008D0360|Actor::vf003
  VFUNC|0x008BD700|Actor::vf004
  VFUNC|0x008C4AB0|Actor::vf005
  VFUNC|0x008C4CB0|Actor::vf006
  VFUNC|0x008C4E10|Actor::vf007
  VFUNC|0x008C4D10|Actor::vf008
  VFUNC|0x008C40E0|Actor::vf009
  VFUNC|0x008D0510|Actor::vf010
  VFUNC|0x008D0520|Actor::vf011
VTABLE|0x0108418C|Actor|11 vfuncs
  VFUNC|0x00880370|Actor::vf000
  VFUNC|0x008803A0|Actor::vf001
  VFUNC|0x00880580|Actor::vf002
  VFUNC|0x008805F0|Actor::vf003
  VFUNC|0x008B0D30|Actor::vf004
  VFUNC|0x008B0D70|Actor::vf005
  VFUNC|0x008B0DB0|Actor::vf006
  VFUNC|0x005F73F0|Actor::vf007
  VFUNC|0x005F7420|Actor::vf008
  VFUNC|0x0087D6D0|Actor::vf009
  VFUNC|0x0087D670|Actor::vf010
VTABLE|0x01084144|Actor|17 vfuncs
  VFUNC|0x00885020|Actor::vf000
  VFUNC|0x00885140|Actor::vf001
  VFUNC|0x00885210|Actor::vf002
  VFUNC|0x008852E0|Actor::vf003
  VFUNC|0x008AC9D0|Actor::vf004
  VFUNC|0x008B9B70|Actor::vf005
  VFUNC|0x008B9C10|Actor::vf006
  VFUNC|0x008B9D20|Actor::vf007
  VFUNC|0x008B9E10|Actor::vf008
  VFUNC|0x008B9FF0|Actor::vf009
  VFUNC|0x008B9790|Actor::vf010
  VFUNC|0x008AC8B0|Actor::vf011
  VFUNC|0x008BBE20|Actor::vf012
  VFUNC|0x008BBEB0|Actor::vf013
  VFUNC|0x00884C80|Actor::vf014
  VFUNC|0x00884D20|Actor::vf015
  VFUNC|0x008847C0|Actor::vf016
VTABLE|0x0109223C|ActorMover|15 vfuncs
  VFUNC|0x009DAEC0|ActorMover::vf000
  VFUNC|0x009DDF60|ActorMover::vf001
  VFUNC|0x009DE040|ActorMover::vf002
  VFUNC|0x009DE060|ActorMover::vf003
  VFUNC|0x009DE080|ActorMover::vf004
  VFUNC|0x009DC120|ActorMover::vf005
  VFUNC|0x004534F0|ActorMover::vf006
  VFUNC|0x005F36F0|ActorMover::vf007
  VFUNC|0x009DDB70|ActorMover::vf008
  VFUNC|0x009DDBB0|ActorMover::vf009
  VFUNC|0x009DF100|ActorMover::vf010
  VFUNC|0x009DF3D0|ActorMover::vf011
  VFUNC|0x009DF8C0|ActorMover::vf012
  VFUNC|0x009DFA00|ActorMover::vf013
  VFUNC|0x009DFB80|ActorMover::vf014
VTABLE|0x01068AA4|ActorPackageData|6 vfuncs
  VFUNC|0x0067D940|ActorPackageData::vf000
  VFUNC|0x00EC60FA|ActorPackageData::vf001
  VFUNC|0x00EC60FA|ActorPackageData::vf002
  VFUNC|0x00EC60FA|ActorPackageData::vf003
  VFUNC|0x00EC60FA|ActorPackageData::vf004
  VFUNC|0x00EC60FA|ActorPackageData::vf005
VTABLE|0x0109231C|ActorPathHandler|33 vfuncs
  VFUNC|0x009DFE10|ActorPathHandler::vf000
  VFUNC|0x00EC60FA|ActorPathHandler::vf001
  VFUNC|0x0080F7D0|ActorPathHandler::vf002
  VFUNC|0x00EC60FA|ActorPathHandler::vf003
  VFUNC|0x009DFDF0|ActorPathHandler::vf004
  VFUNC|0x00EC60FA|ActorPathHandler::vf005
  VFUNC|0x00EC60FA|ActorPathHandler::vf006
  VFUNC|0x00EC60FA|ActorPathHandler::vf007
  VFUNC|0x00EC60FA|ActorPathHandler::vf008
  VFUNC|0x00EC60FA|ActorPathHandler::vf009
  VFUNC|0x00EC60FA|ActorPathHandler::vf010
  VFUNC|0x00EC60FA|ActorPathHandler::vf011
  VFUNC|0x00EC60FA|ActorPathHandler::vf012
  VFUNC|0x00EC60FA|ActorPathHandler::vf013
  VFUNC|0x004534F0|ActorPathHandler::vf014
  VFUNC|0x008D0360|ActorPathHandler::vf015
  VFUNC|0x0047C850|ActorPathHandler::vf016
  VFUNC|0x0047C850|ActorPathHandler::vf017
  VFUNC|0x00EC60FA|ActorPathHandler::vf018
  VFUNC|0x00EC60FA|ActorPathHandler::vf019
  VFUNC|0x008D0370|ActorPathHandler::vf020
  VFUNC|0x004534F0|ActorPathHandler::vf021
  VFUNC|0x004534F0|ActorPathHandler::vf022
  VFUNC|0x004534F0|ActorPathHandler::vf023
  VFUNC|0x00EC60FA|ActorPathHandler::vf024
  VFUNC|0x00483710|ActorPathHandler::vf025
  VFUNC|0x008D05E0|ActorPathHandler::vf026
  VFUNC|0x00483710|ActorPathHandler::vf027
  VFUNC|0x00EC60FA|ActorPathHandler::vf028
  VFUNC|0x0047C850|ActorPathHandler::vf029
  VFUNC|0x00EC60FA|ActorPathHandler::vf030
  VFUNC|0x00EC60FA|ActorPathHandler::vf031
  VFUNC|0x00EC60FA|ActorPathHandler::vf032
VTABLE|0x01088158|ActorPathingMessageQueue|7 vfuncs
  VFUNC|0x008DF980|ActorPathingMessageQueue::vf000
  VFUNC|0x009054A0|ActorPathingMessageQueue::vf001
  VFUNC|0x006EC0D0|ActorPathingMessageQueue::vf002
  VFUNC|0x00905510|ActorPathingMessageQueue::vf003
  VFUNC|0x006EC390|ActorPathingMessageQueue::vf004
  VFUNC|0x009056F0|ActorPathingMessageQueue::vf005
  VFUNC|0x00905770|ActorPathingMessageQueue::vf006
VTABLE|0x0108814C|ActorPathingMessageQueue|2 vfuncs
  VFUNC|0x00905B90|ActorPathingMessageQueue::vf000
  VFUNC|0x00CFCC20|ActorPathingMessageQueue::vf001
VTABLE|0x01085788|ActorUpdateTaskData|7 vfuncs
  VFUNC|0x008C89D0|ActorUpdateTaskData::vf000
  VFUNC|0x008D0360|ActorUpdateTaskData::vf001
  VFUNC|0x008C8130|ActorUpdateTaskData::vf002
  VFUNC|0x00483710|ActorUpdateTaskData::vf003
  VFUNC|0x008C8A20|ActorUpdateTaskData::vf004
  VFUNC|0x008C8A70|ActorUpdateTaskData::vf005
  VFUNC|0x008C8A50|ActorUpdateTaskData::vf006
VTABLE|0x01067A2C|ActorValueInfo|78 vfuncs
  VFUNC|0x00483710|ActorValueInfo::vf000
  VFUNC|0x00483710|ActorValueInfo::vf001
  VFUNC|0x00485340|ActorValueInfo::vf002
  VFUNC|0x004853E0|ActorValueInfo::vf003
  VFUNC|0x00670050|ActorValueInfo::vf004
  VFUNC|0x00483710|ActorValueInfo::vf005
  VFUNC|0x00483710|ActorValueInfo::vf006
  VFUNC|0x008D0360|ActorValueInfo::vf007
  VFUNC|0x006701A0|ActorValueInfo::vf008
  VFUNC|0x00401290|ActorValueInfo::vf009
  VFUNC|0x00483D20|ActorValueInfo::vf010
