# constructor-candidate names: 0x<rva>|<Class::Class>|0x<vtable_va>
0x00030950|ExtraTresPassPackage::ExtraTresPassPackage|0x01015944
0x00030A10|ExtraPlayerCrimeList::ExtraPlayerCrimeList|0x01015C30
0x00030AE0|ExtraPlayerCrimeList::ExtraPlayerCrimeList|0x01015C30
0x00030BC0|ExtraPlayerCrimeList::ExtraPlayerCrimeList|0x01015C30
0x00030C70|ExtraPersistentCell::ExtraPersistentCell|0x01015C3C
0x00030CA0|ExtraPersistentCell::ExtraPersistentCell|0x01015C3C
0x00030DD0|ExtraRagDollData::ExtraRagDollData|0x01015C48
0x00030EA0|ExtraEncounterZone::ExtraEncounterZone|0x01015C54
0x00030F30|ExtraUsedMarkers::ExtraUsedMarkers|0x01015C60
0x000310D0|ExtraRunOncePacks::ExtraRunOncePacks|0x01015C78
0x00031120|ExtraRunOncePacks::ExtraRunOncePacks|0x01015C78
0x00031360|ExtraEnableStateParent::ExtraEnableStateParent|0x01015C90
0x000314C0|ExtraEnableStateChildren::ExtraEnableStateChildren|0x01015C9C
0x000314C9|ExtraRandomTeleportMarker::ExtraRandomTeleportMarker|0x01015CA8
0x00031620|ExtraLinkedRefChildren::ExtraLinkedRefChildren|0x01015CB4
0x00031680|ExtraLinkedRef::ExtraLinkedRef|0x01015CC0
0x00031830|ExtraActivateRefChildren::ExtraActivateRefChildren|0x01015CD8
0x00031920|ExtraActivateRef::ExtraActivateRef|0x01015CE4
0x0003199D|ExtraActivateRef::ExtraActivateRef|0x01015CE4
0x00031D10|ExtraDecalRefs::ExtraDecalRefs|0x01015CF0
0x000325B0|ExtraReflectedRefs::ExtraReflectedRefs|0x01014428
0x000329D0|ExtraWaterLightRefs::ExtraWaterLightRefs|0x01014440
0x00032B50|ExtraReflectorRefs::ExtraReflectorRefs|0x01014434
0x00032E60|ExtraLitWaterRefs::ExtraLitWaterRefs|0x0101444C
0x00033010|ExtraMerchantContainer::ExtraMerchantContainer|0x01015E04
0x000331C0|ExtraPoison::ExtraPoison|0x0101595C
0x00033300|ExtraLastFinishedSequence::ExtraLastFinishedSequence|0x01015E1C
0x000334B0|ExtraEmittanceSource::ExtraEmittanceSource|0x01015E34
0x00033530|ExtraMultiBoundRef::ExtraMultiBoundRef|0x01015E40
0x000335D0|ExtraMultiBoundData::ExtraMultiBoundData|0x01015E4C
0x0003361D|ExtraMultiBoundData::ExtraMultiBoundData|0x01015E4C
0x000336DA|ExtraMultiBound::ExtraMultiBound|0x01015E58
0x000338B0|ExtraPortal::ExtraPortal|0x01015E70
0x00033970|ExtraItemDropper::ExtraItemDropper|0x01015E88
0x00033A00|ExtraDroppedItemList::ExtraDroppedItemList|0x01015E94
0x00033B70|ExtraSavedHavokData::ExtraSavedHavokData|0x01015EAC
0x00033CA0|ExtraFriendHits::ExtraFriendHits|0x01015EB8
0x00033F3A|ExtraRefractionProperty::ExtraRefractionProperty|0x01015EC4
0x00034050|ExtraEditorRefMoveData::ExtraEditorRefMoveData|0x01015ED0
0x000340DB|ExtraHasNoRumors::ExtraHasNoRumors|0x01015974
0x000341B4|ExtraSound::ExtraSound|0x01015EDC
0x000342B0|ExtraCreatureAwakeSound::ExtraCreatureAwakeSound|0x01015EE8
0x0003433C|ExtraCreatureAwakeSound::ExtraCreatureAwakeSound|0x01015EE8
0x000343C0|ExtraCreatureMovementSound::ExtraCreatureMovementSound|0x01015EF4
0x00034480|ExtraWeaponIdleSound::ExtraWeaponIdleSound|0x01015F00
0x00034560|ExtraWeaponIdleSound::ExtraWeaponIdleSound|0x01015F00
0x000346F0|ExtraActivateLoopSound::ExtraActivateLoopSound|0x01015F18
0x000347C5|ExtraActivateLoopSound::ExtraActivateLoopSound|0x01015F18
0x00034AF0|ExtraTalkingActor::ExtraTalkingActor|0x01015F24
0x00034C80|ExtraTalkingActor::ExtraTalkingActor|0x01015F24
0x00034D90|ExtraFactionChanges::ExtraFactionChanges|0x01015F30
0x00034DC0|ExtraFactionChanges::ExtraFactionChanges|0x01015F30
0x000354A0|ExtraSayTopicInfoOnceADay::ExtraSayTopicInfoOnceADay|0x01015F3C
0x00035590|ExtraSayTopicInfoOnceADay::ExtraSayTopicInfoOnceADay|0x01015F3C
0x000355F0|ExtraSayTopicInfoOnceADay::ExtraSayTopicInfoOnceADay|0x01015F3C
0x000357A0|ExtraWaterZoneMap::ExtraWaterZoneMap|0x01015F54
0x000359F0|ExtraPatrolRefInUseData::ExtraPatrolRefInUseData|0x01015F70
0x00035AC0|ExtraPatrolRefInUseData::ExtraPatrolRefInUseData|0x01015F70
0x00035D40|ExtraFollowerSwimBreadcrumbs::ExtraFollowerSwimBreadcrumbs|0x01015F7C
0x00036420|?$BSMap@PAVTESFaction::?$BSMap@PAVTESFaction|0x01015FDC
0x00036600|?$BSSimpleArray@VCombatTimeStamp::?$BSSimpleArray@VCombatTimeStamp|0x01016010
0x00036780|?$NiTMap@PAVWaterZone::?$NiTMap@PAVWaterZone|0x01015FBC
0x0003683B|?$BSMapBase@PAVTESFaction::?$BSMapBase@PAVTESFaction|0x01016058
0x0003698C|?$BSMapBase@PAVTESFaction::?$BSMapBase@PAVTESFaction|0x01016058
0x00037240|NiAlphaProperty::NiAlphaProperty|0x010162DC
0x00039E90|QueuedTexture::QueuedTexture|0x01016788
0x00039EF0|QueuedTexture::QueuedTexture|0x01016788
0x00039F50|QueuedTexture::QueuedTexture|0x01016788
0x0003A8F0|QueuedModel::QueuedModel|0x01016890
0x0003A9A0|QueuedModel::QueuedModel|0x01016890
0x0003B040|BSStream::BSStream|0x01016904
0x0003B197|BSStream::BSStream|0x01016904
0x0003B560|QueuedTreeBillboard::QueuedTreeBillboard|0x0101698C
0x0003B5F0|QueuedTreeBillboard::QueuedTreeBillboard|0x0101698C
0x0003B9D0|BGSNote::BGSNote|0x01046850
0x0003BB80|QueuedMagicItem::QueuedMagicItem|0x01016A18
0x0003C130|QueuedKF::QueuedKF|0x01016A48
0x0003C8CF|QueuedReplacementKF::QueuedReplacementKF|0x01016AC0
0x0003CF60|QueuedHelmet::QueuedHelmet|0x01016B4C
0x0003DDFE|QueuedReference::QueuedReference|0x01016BA4
0x0003E530|AttachDistant3DTask::AttachDistant3DTask|0x01016BEC
0x0003E580|IOTask::IOTask|0x01016C10
0x0003EE9E|QueuedTree::QueuedTree|0x01016C5C
0x0003F1F0|QueuedActor::QueuedActor|0x01016CA4
0x0003F497|QueuedCharacter::QueuedCharacter|0x01016CEC
0x0003FB50|QueuedPlayer::QueuedPlayer|0x01016D7C
0x0003FCD0|QueuedFileLoad::QueuedFileLoad|0x01016DC4
0x00040299|BackgroundCloneThread::BackgroundCloneThread|0x01016E50
0x00043845|BGSNote::BGSNote|0x01046850
0x00043A76|BGSNote::BGSNote|0x01046850
0x000442C0|BGSNote::BGSNote|0x01046850
0x000445C0|BGSNote::BGSNote|0x01046850
0x000446C8|BGSNote::BGSNote|0x01046850
0x00044A31|QueuedReplacementKFList::QueuedReplacementKFList|0x01016FC0
0x00045670|BGSNote::BGSNote|0x01046850
0x00045C7A|BGSNote::BGSNote|0x01046850
0x00047190|?$BSTask@_J::?$BSTask@_J|0x01017138
0x00047300|?$LockFreeCaseInsensitiveStringMap@PAVModel::?$LockFreeCaseInsensitiveStringMap@PAVModel|0x01017154
0x000476DA|?$LockFreeCaseInsensitiveStringMap@PAVKFModel::?$LockFreeCaseInsensitiveStringMap@PAVKFModel|0x010171EC
0x00047850|?$LockFreeCaseInsensitiveStringMap@PAVLoadedFile::?$LockFreeCaseInsensitiveStringMap@PAVLoadedFile|0x0101723C
0x00047950|LockFreeMapIterator@?$LockFreeMap@PBDPAVModel::LockFreeMapIterator@?$LockFreeMap@PBDPAVModel|0x01017294
0x00047980|LockFreeStringMapIterator@?$LockFreeStringMap@PAVKFModel::LockFreeStringMapIterator@?$LockFreeStringMap@PAVKFModel|0x010172A0
0x00047A40|LockFreeMapIterator@?$LockFreeMap@PAVTESObjectREFR::LockFreeMapIterator@?$LockFreeMap@PAVTESObjectREFR|0x010172D0
0x00047DCE|?$LockFreeStringMap@PAVKFModel::?$LockFreeStringMap@PAVKFModel|0x0101732C
0x00047F20|?$LockFreeStringMap@PAVLoadedFile::?$LockFreeStringMap@PAVLoadedFile|0x0101737C
0x00048080|?$LockFreeStringMap@PAVKFModel::?$LockFreeStringMap@PAVKFModel|0x0101732C
0x00048142|?$LockFreeStringMap@PAVLoadedFile::?$LockFreeStringMap@PAVLoadedFile|0x0101737C
0x000482FA|std::length_error::length_error|0x010173DC
0x00048370|std::logic_error::logic_error|0x010173E8
0x000483E0|std::logic_error::logic_error|0x010173E8
0x00048420|std::length_error::length_error|0x010173DC
0x00048620|std::logic_error::logic_error|0x010173E8
0x00048A20|std::length_error::length_error|0x010173DC
0x00049500|InterfacedClass::InterfacedClass|0x01017458
0x00049A50|?$LockFreeMap@PAVAnimIdle::?$LockFreeMap@PAVAnimIdle|0x010174CC
0x00049C30|?$LockFreeMap@PAVAnimation::?$LockFreeMap@PAVAnimation|0x0101751C
0x00049EC0|?$LockFreeMap@PAVTESObjectREFR::?$LockFreeMap@PAVTESObjectREFR|0x0101756C
0x0004A240|?$LockFreeMap@PBDPAVModel::?$LockFreeMap@PBDPAVModel|0x010175BC
0x0004A420|?$LockFreeMap@PBDPAVKFModel::?$LockFreeMap@PBDPAVKFModel|0x0101760C
