# JIP-LN-NVSE Address Mappings
# Format: 0xVA|name|source
0x01015BC4|VTABLE_ExtraOriginalReference|JIP-LN/internal\class_vtbls.h
0x01015BD0|VTABLE_ExtraGhost|JIP-LN/internal\class_vtbls.h
0x01015BDC|VTABLE_ExtraWorn|JIP-LN/internal\class_vtbls.h
0x01015BE8|VTABLE_ExtraWornLeft|JIP-LN/internal\class_vtbls.h
0x01015BF4|VTABLE_ExtraCannotWear|JIP-LN/internal\class_vtbls.h
0x01015C00|VTABLE_ExtraInfoGeneralTopic|JIP-LN/internal\class_vtbls.h
0x01015C0C|VTABLE_ExtraSeed|JIP-LN/internal\class_vtbls.h
0x01015C18|VTABLE_ExtraPackageStartLocation|JIP-LN/internal\class_vtbls.h
0x01015C24|VTABLE_ExtraPackage|JIP-LN/internal\class_vtbls.h
0x01015C30|VTABLE_ExtraPlayerCrimeList|JIP-LN/internal\class_vtbls.h
0x01015C3C|VTABLE_ExtraPersistentCell|JIP-LN/internal\class_vtbls.h
0x01015C48|VTABLE_ExtraRagDollData|JIP-LN/internal\class_vtbls.h
0x01015C54|VTABLE_ExtraEncounterZone|JIP-LN/internal\class_vtbls.h
0x01015C60|VTABLE_ExtraUsedMarkers|JIP-LN/internal\class_vtbls.h
0x01015C6C|VTABLE_ExtraReservedMarkers|JIP-LN/internal\class_vtbls.h
0x01015C78|VTABLE_ExtraRunOncePacks|JIP-LN/internal\class_vtbls.h
0x01015C84|VTABLE_ExtraDistantData|JIP-LN/internal\class_vtbls.h
0x01015C90|VTABLE_ExtraEnableStateParent|JIP-LN/internal\class_vtbls.h
0x01015C9C|VTABLE_ExtraEnableStateChildren|JIP-LN/internal\class_vtbls.h
0x01015CA8|VTABLE_ExtraRandomTeleportMarker|JIP-LN/internal\class_vtbls.h
0x01015CB4|VTABLE_ExtraLinkedRefChildren|JIP-LN/internal\class_vtbls.h
0x01015CC0|VTABLE_ExtraLinkedRef|JIP-LN/internal\class_vtbls.h
0x01015CCC|VTABLE_ExtraAshPileRef|JIP-LN/internal\class_vtbls.h
0x01015CD8|VTABLE_ExtraActivateRefChildren|JIP-LN/internal\class_vtbls.h
0x01015CE4|VTABLE_ExtraActivateRef|JIP-LN/internal\class_vtbls.h
0x01015CF0|VTABLE_ExtraDecalRefs|JIP-LN/internal\class_vtbls.h
0x01015E04|VTABLE_ExtraMerchantContainer|JIP-LN/internal\class_vtbls.h
0x01015E10|VTABLE_ExtraLevCreaModifier|JIP-LN/internal\class_vtbls.h
0x01015E1C|VTABLE_ExtraLastFinishedSequence|JIP-LN/internal\class_vtbls.h
0x01015E28|VTABLE_ExtraXTarget|JIP-LN/internal\class_vtbls.h
0x01015E34|VTABLE_ExtraEmittanceSource|JIP-LN/internal\class_vtbls.h
0x01015E40|VTABLE_ExtraMultiBoundRef|JIP-LN/internal\class_vtbls.h
0x01015E4C|VTABLE_ExtraMultiBoundData|JIP-LN/internal\class_vtbls.h
0x01015E58|VTABLE_ExtraMultiBound|JIP-LN/internal\class_vtbls.h
0x01015E64|VTABLE_ExtraOcclusionPlane|JIP-LN/internal\class_vtbls.h
0x01015E70|VTABLE_ExtraPortal|JIP-LN/internal\class_vtbls.h
0x01015E7C|VTABLE_ExtraRoom|JIP-LN/internal\class_vtbls.h
0x01015E88|VTABLE_ExtraItemDropper|JIP-LN/internal\class_vtbls.h
0x01015E94|VTABLE_ExtraDroppedItemList|JIP-LN/internal\class_vtbls.h
0x01015EA0|VTABLE_ExtraSavedAnimation|JIP-LN/internal\class_vtbls.h
0x01015EAC|VTABLE_ExtraSavedHavokData|JIP-LN/internal\class_vtbls.h
0x01015EB8|VTABLE_ExtraFriendHits|JIP-LN/internal\class_vtbls.h
0x01015EC4|VTABLE_ExtraRefractionProperty|JIP-LN/internal\class_vtbls.h
0x01015ED0|VTABLE_ExtraEditorRefMoveData|JIP-LN/internal\class_vtbls.h
0x01015EDC|VTABLE_ExtraSound|JIP-LN/internal\class_vtbls.h
0x01015EE8|VTABLE_ExtraCreatureAwakeSound|JIP-LN/internal\class_vtbls.h
0x01015EF4|VTABLE_ExtraCreatureMovementSound|JIP-LN/internal\class_vtbls.h
0x01015F00|VTABLE_ExtraWeaponIdleSound|JIP-LN/internal\class_vtbls.h
0x01015F0C|VTABLE_ExtraWeaponAttackSound|JIP-LN/internal\class_vtbls.h
0x01015F18|VTABLE_ExtraActivateLoopSound|JIP-LN/internal\class_vtbls.h
0x01015F24|VTABLE_ExtraTalkingActor|JIP-LN/internal\class_vtbls.h
0x01015F30|VTABLE_ExtraFactionChanges|JIP-LN/internal\class_vtbls.h
0x01015F3C|VTABLE_ExtraSayTopicInfoOnceADay|JIP-LN/internal\class_vtbls.h
0x01015F48|VTABLE_ExtraSayToTopicInfo|JIP-LN/internal\class_vtbls.h
0x01015F54|VTABLE_ExtraWaterZoneMap|JIP-LN/internal\class_vtbls.h
0x01015F64|VTABLE_ExtraIgnoredBySandbox|JIP-LN/internal\class_vtbls.h
0x01015F70|VTABLE_ExtraPatrolRefInUseData|JIP-LN/internal\class_vtbls.h
0x01015F7C|VTABLE_ExtraFollowerSwimBreadcrumbs|JIP-LN/internal\class_vtbls.h
0x010162DC|VTABLE_NiAlphaProperty|JIP-LN/internal\class_vtbls.h
0x01016374|VTABLE_NiProperty|JIP-LN/internal\class_vtbls.h
0x01016788|VTABLE_QueuedTexture|JIP-LN/internal\class_vtbls.h
0x01016890|VTABLE_QueuedModel|JIP-LN/internal\class_vtbls.h
