# iterative call-graph alignment: 0xRVA|qualified_name|votes
0x00126640|INTERIOR_DATA::INTERIOR_DATA|1
0x00126790|INTERIOR_DATA::Endian|2
0x00127080|TESObjectREFR::GetObjectReference|1
0x00127F40|BSSimpleList<DeadCountObject *>::BSSimpleList<DeadCountObject *>|1
0x00128560|ExteriorCellLoader::RemoveCell|2
0x00128620|ExteriorCellLoader::LoadCellData|1
0x001287B0|ExteriorCellLoader::AttachLoadedCell|1
0x001293F0|Menu::Menu|1
0x00129540|ImageSpaceModifierInstance::ImageSpaceModifierInstance|2
0x00129990|TESImageSpaceModifier::GetTickCount|4
0x0012AC50|TESClimate::SetMoonPhaseDays|1
0x0012B260|TESClimate::SetUsesMasser|1
0x0012B2C0|TESClimate::SetUsesSecunda|1
