# global labels: 0x<pc_data_rva>|<qualified name>|votes|<mangled>
0x00DDA2C8|LoveTesterAnimations|1|?LoveTesterAnimations@@3PAPBDA
0x00DDA368|sShowAllNotes|1|?sShowAllNotes@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA404|fKeyRepeatInterval|1|?fKeyRepeatInterval@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDA6CC|fMiniBurstIntensity|1|?fMiniBurstIntensity@@3V?$SettingT@VINISettingCollection@@@@A
0x00DDA6F4|sRSMRace|1|?sRSMRace@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA75C|sCantRepairPastMax|1|?sCantRepairPastMax@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA760|fRepairSkillMax|1|?fRepairSkillMax@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA7E8|sNoItemsToRepair|1|?sNoItemsToRepair@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA7F0|sRepairServicesTitle|1|?sRepairServicesTitle@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA870|sRouletteAntiCheatText|1|?sRouletteAntiCheatText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA878|sDecreaseBetText|1|?sDecreaseBetText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA87C|sYouBreakEvenText|1|?sYouBreakEvenText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA880|sGamblingBrokeText|2|?sGamblingBrokeText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA920|sSleep|1|?sSleep@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA998|sIncreaseBetText|1|?sIncreaseBetText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA9A4|sSpinText|1|?sSpinText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA9A8|sGamblingMinWinText|1|?sGamblingMinWinText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDA9AC|sGamblingBannedText|3|?sGamblingBannedText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDAAC0|sDefaults|1|?sDefaults@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDAB50|sConfirmDelete|1|?sConfirmDelete@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDAC68|sDeviceRemoved|1|?sDeviceRemoved@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDACE0|sQuestsTabText|1|?sQuestsTabText@@3V?$SettingT@VGameSettingCollection@@@@A
0x00DDAD78|sStatsBody|1|?sStatsBody@@3V?$SettingT@VGameSettingCollection@@@@A
